🕘️更新时间,#genre#
2026-08-09 18:41:18,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源

📺央视频道,#genre#
CCTV-1,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://116.113.72.150:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://222.240.44.42:12810/newlive/live/hls/1/live.m3u8$订阅源
CCTV-1,http://221.225.162.96:9004/hls/1/index.m3u8$订阅源
CCTV-1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8$订阅源
CCTV-2,http://112.30.73.119:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://116.113.72.150:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$订阅源
CCTV-2,http://221.225.162.96:9004/hls/2/index.m3u8$订阅源
CCTV-3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://116.113.72.150:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://221.225.162.96:9004/hls/3/index.m3u8$订阅源
CCTV-3,http://219.147.245.238:25480/newlive/live/hls/3/live.m3u8$订阅源
CCTV-4,http://116.113.72.150:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://221.225.162.96:9004/hls/4/index.m3u8$订阅源
CCTV-4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8$订阅源
CCTV-5,http://116.113.72.150:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://120.40.39.246:352/newlive/live/hls/5/live.m3u8$订阅源
CCTV-5,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8$订阅源
CCTV-5,http://221.225.162.96:9004/hls/5/index.m3u8$订阅源
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009$订阅源
CCTV-5+,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8$订阅源
CCTV-5+,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8$订阅源
CCTV-5+,http://113.101.119.74:8090/hls/10/index.m3u8$订阅源
CCTV-5+,http://58.56.162.102:4466/newlive/live/hls/6/live.m3u8$订阅源
CCTV-5+,http://219.147.245.238:25480/newlive/live/hls/6/live.m3u8$订阅源
CCTV-6,http://116.113.72.150:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://120.40.39.246:352/newlive/live/hls/7/live.m3u8$订阅源
CCTV-6,http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8$订阅源
CCTV-6,http://221.225.162.96:9004/hls/6/index.m3u8$订阅源
CCTV-6,http://58.56.162.102:4466/newlive/live/hls/7/live.m3u8$订阅源
CCTV-6,http://101.66.194.210:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009$订阅源
CCTV-7,http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8$订阅源
CCTV-7,http://113.101.119.74:8090/hls/119/index.m3u8$订阅源
CCTV-7,http://221.225.162.96:9004/hls/7/index.m3u8$订阅源
CCTV-7,http://219.147.245.238:25480/newlive/live/hls/8/live.m3u8$订阅源
CCTV-7,http://101.66.194.210:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8$订阅源
CCTV-8,http://113.57.140.161:10081/newlive/live/hls/9/live.m3u8$订阅源
